State,Denominator,Prevalence,Lower CI,Upper CI,Year,Source,Source_Full1,State_Full1,State_Full2,Numerator_ASD,Numerator_NonASD,Proportion,95_Z_CI,Z_Lower CI,Z_Upper CI,Z_Lower CI_ABSerror,Z_Upper CI_ABSerror,Chi_Wilson_P,95_Chi_Wilson_CI,Chi_Wilson_Lower CI,Chi_Wilson_Upper CI,Chi_Wilson_Lower CI_ABSerror,Chi_Wilson_Upper CI_ABSerror,Chi_Wilson_Corrected_w_minus CI,Chi_Wilson_Corrected_w_plus CI,Chi_Wilson_Corrected_Lower CI,Chi_Wilson_Corrected_Upper CI,Chi_Wilson_Corrected_Lower CI_ABSerror,Chi_Wilson_Corrected_Upper CI_ABSerror,Male Prevalence,Male Lower CI,Male Upper CI,Female Prevalence,Female Lower CI,Female Upper CI,Non-hispanic white Prevalence,Non-hispanic white Lower CI,Non-hispanic white Upper CI,Non-hispanic black Prevalence,Non-hispanic black Lower CI,Non-hispanic black Upper CI,Hispanic Prevalence,Hispanic Lower CI,Hispanic Upper CI,Asian or Pacific Islander Prevalence,Asian or Pacific Islander Lower CI,Asian or Pacific Islander Upper CI
ND,21041,2.9,2.3,3.8,2000,medi,Medicaid,North Dakota,ND-North Dakota,61,20980,0.002899102,0.000726467,2.172634261,3.625569247,0.127365739,0.174430753,0.002989841,0.000732047,2.257794335,3.721887625,0.042205665,0.078112375,0.002236987,0.003748585,2.23698653,3.748585415,0.06301347,0.051414585,,,,,,,,,,,,,,,,,,
OH,562133,2.5,2.4,2.6,2000,medi,Medicaid,Ohio,OH-Ohio,1405,560728,0.002499409,0.000130528,2.368880482,2.629936524,0.031119518,0.029936524,0.002502808,0.000130572,2.372236416,2.633380102,0.027763584,0.033380102,0.00237137,0.002634293,2.371370114,2.634292722,0.028629886,0.034292722,,,,,,,,,,,,,,,,,,
OK,252657,1.1,1,1.3,2000,medi,Medicaid,Oklahoma,OK-Oklahoma,278,252379,0.001100306,0.000129271,0.97103525,1.229576646,0.02896475,0.070423354,0.001107891,0.000129492,0.978399158,1.237383294,0.021600842,0.062616706,0.000976536,0.001239478,0.976536193,1.2394781,0.023463807,0.0605219,,,,,,,,,,,,,,,,,,
OR,154884,4.7,4.4,5.1,2000,medi,Medicaid,Oregon,OR-Oregon,728,154156,0.004700292,0.000340631,4.359660836,5.040922826,0.040339164,0.059077174,0.004712576,0.000340848,4.371727828,5.053424237,0.028272172,0.046575763,0.004368616,0.005056769,4.368616049,5.056768702,0.031383951,0.043231298,,,,,,,,,,,,,,,,,,
PA,573278,4.2,4,4.4,2000,medi,Medicaid,Pennsylvania,PA-Pennsylvania,2408,570870,0.004200405,0.000167416,4.032989362,4.367821414,0.032989362,0.032178586,0.004203728,0.000167448,4.036279226,4.371176078,0.036279226,0.028823922,0.004035424,0.004372066,4.03542436,4.372065553,0.03542436,0.027934447,,,,,,,,,,,,,,,,,,
RI,66153,4.8,4.3,5.3,2000,medi,Medicaid,Rhode Island,RI-Rhode Island,318,65835,0.004807038,0.000527067,4.279971315,5.334105144,0.020028685,0.034105144,0.004835792,0.000527835,4.307956695,5.363627448,0.007956695,0.063627448,0.004300811,0.005371597,4.300810773,5.371596793,0.000810773,0.071596793,,,,,,,,,,,,,,,,,,
SC,312791,3.1,3,3.4,2000,medi,Medicaid,South Carolina,SC-South Carolina,970,311821,0.003101112,0.000194852,2.906260066,3.295964423,0.093739934,0.104035577,0.003107215,0.000194947,2.912268181,3.302161218,0.087731819,0.097838782,0.00291072,0.00330381,2.910719734,3.303809742,0.089280266,0.096190258,,,,,,,,,,,,,,,,,,
SD,42764,2.9,2.4,3.5,2000,medi,Medicaid,South Dakota,SD-South Dakota,124,42640,0.002899635,0.000509624,2.390010998,3.409259416,0.009989002,0.090740584,0.002944285,0.000511554,2.432731703,3.455839013,0.032731703,0.044160987,0.002422062,0.003468549,2.42206214,3.468549446,0.02206214,0.031450554,,,,,,,,,,,,,,,,,,
TN,479157,0.9,0.8,1,2000,medi,Medicaid,Tennessee,TN-Tennessee,431,478726,0.000899496,8.48816E-05,0.814614823,0.984377992,0.014614823,0.015622008,0.000903498,8.49755E-05,0.81852222,0.988473227,0.01852222,0.011526773,0.000817528,0.000989566,0.817527879,0.989565839,0.017527879,0.010434161,,,,,,,,,,,,,,,,,,
TX,1007251,1.3,1.3,1.4,2000,medi,Medicaid,Texas,TX-Texas,1309,1005942,0.001299577,7.03555E-05,1.229221306,1.369932232,0.070778694,0.030067768,0.001301479,7.0381E-05,1.231097676,1.37185974,0.068902324,0.02814026,0.001230615,0.00137237,1.230614693,1.372369551,0.069385307,0.027630449,,,,,,,,,,,,,,,,,,
UT,69605,2.6,2.2,3,2000,medi,Medicaid,Utah,UT-Utah,181,69424,0.002600388,0.000378339,2.222048532,2.978727275,0.022048532,0.021272725,0.002627838,0.000379323,2.248514148,3.00716101,0.048514148,0.00716101,0.002241851,0.003014863,2.241851309,3.014863442,0.041851309,0.014863442,,,,,,,,,,,,,,,,,,
VT,49725,5.5,4.9,6.2,2000,medi,Medicaid,Vermont,VT-Vermont,273,49452,0.005490196,0.00064947,4.840725986,6.139666171,0.059274014,0.060333829,0.005528396,0.000650567,4.877828539,6.17896351,0.022171461,0.02103649,0.004868365,0.006189608,4.868364666,6.189608144,0.031635334,0.010391856,,,,,,,,,,,,,,,,,,
VA,265202,1.8,1.6,2,2000,medi,Medicaid,Virginia,VA-Virginia,477,264725,0.001798629,0.000161265,1.637364175,1.959893764,0.037364175,0.040106236,0.001805845,0.000161425,1.644420319,1.967270334,0.044420319,0.032729666,0.001642619,0.00196924,1.642619296,1.969239922,0.042619296,0.030760078,,,,,,,,,,,,,,,,,,
WA,421362,1.1,1,1.2,2000,medi,Medicaid,Washington,WA-Washington,463,420899,0.001098818,0.000100033,0.99878437,1.198850918,0.00121563,0.001149082,0.001103366,0.000100136,1.003229801,1.203502135,0.003229801,0.003502135,0.001002097,0.001204743,1.002097096,1.204742635,0.002097096,0.004742635,,,,,,,,,,,,,,,,,,
WV,122080,4.2,3.9,4.6,2000,medi,Medicaid,West Virginia,WV-West Virginia,513,121567,0.004202163,0.000362867,3.839295209,4.565029824,0.060704791,0.034970176,0.004217763,0.000363197,3.854566358,4.58095997,0.045433642,0.01904003,0.003850647,0.004585231,3.850646774,4.585231392,0.049353226,0.014768608,,,,,,,,,,,,,,,,,,
WI,217566,5.6,5.3,5.9,2000,medi,Medicaid,Wisconsin,WI-Wisconsin,1218,216348,0.005598301,0.000313517,5.284783814,5.911818596,0.015216186,0.011818596,0.00560703,0.000313636,5.29339434,5.920666591,0.00660566,0.020666591,0.00529116,0.005923029,5.291160196,5.923028659,0.008839804,0.023028659,,,,,,,,,,,,,,,,,,
WY,19981,2.8,2.2,3.6,2000,medi,Medicaid,Wyoming,WY-Wyoming,56,19925,0.002802663,0.000733019,2.069643178,3.535681881,0.130356822,0.064318119,0.002898233,0.000739153,2.159079669,3.637386571,0.040920331,0.037386571,0.002137303,0.003665633,2.137302783,3.665633291,0.062697217,0.065633291,,,,,,,,,,,,,,,,,,
AL,273698,1.6,1.5,1.8,2001,medi,Medicaid,Alabama,AL-Alabama,438,273260,0.001600304,0.00014975,1.45055436,1.750053609,0.04944564,0.049946391,0.001607299,0.000149912,1.457387257,1.757210987,0.042612743,0.042789013,0.001455646,0.001759123,1.455645718,1.75912301,0.044354282,0.04087699,,,,,,,,,,,,,,,,,,
AK,54204,3.6,3.1,4.1,2001,medi,Medicaid,Alaska,AK-Alaska,195,54009,0.00359752,0.000504024,3.093496196,4.10154476,0.006503804,0.00154476,0.003632698,0.000505233,3.127465656,4.137930793,0.027465656,0.037930793,0.003118885,0.004147796,3.118884534,4.147796358,0.018884534,0.047796358,,,,,,,,,,,,,,,,,,
AZ,312970,3.7,3.5,3.9,2001,medi,Medicaid,Arizona,AZ-Arizona,1158,311812,0.003700035,0.000212713,3.487321811,3.912748483,0.012678189,0.012748483,0.003706127,0.000212799,3.493327523,3.918925999,0.006672477,0.018925999,0.003491776,0.003920569,3.491775683,3.920569304,0.008224317,0.020569304,,,,,,,,,,,,,,,,,,
AR,218750,5.1,4.8,5.4,2001,medi,Medicaid,Arkansas,AR-Arkansas,1116,217634,0.005101714,0.000298553,4.803161266,5.400267305,0.003161266,0.000267305,0.005110405,0.000298677,4.811728155,5.409081883,0.011728155,0.009081883,0.004809509,0.005411434,4.809508996,5.411434057,0.009508996,0.011434057,,,,,,,,,,,,,,,,,,
CA,2471781,1.2,1.2,1.3,2001,medi,Medicaid,California,CA-California,2966,2468815,0.001199944,4.31582E-05,1.15678633,1.243102657,0.04321367,0.056897343,0.00120072,4.31651E-05,1.157554599,1.243884781,0.042445401,0.056115219,0.001157356,0.001244091,1.157355949,1.244090697,0.042644051,0.055909303,,,,,,,,,,,,,,,,,,
CO,145270,1.8,1.6,2,2001,medi,Medicaid,Colorado,CO-Colorado,261,145009,0.001796655,0.000217772,1.578882566,2.014426445,0.021117434,0.014426445,0.001809828,0.000218167,1.591661262,2.027995611,0.008338738,0.027995611,0.001588427,0.002031645,1.588427417,2.031645118,0.011572583,0.031645118,,,,,,,,,,,,,,,,,,
CT,170794,0.6,0.5,0.7,2001,medi,Medicaid,Connecticut,CT-Connecticut,102,170692,0.000597211,0.000115863,0.481347388,0.713073962,0.018652612,0.013073962,0.000608443,0.000116405,0.492037712,0.724848035,0.007962288,0.024848035,0.000489393,0.000728058,0.489393094,0.728057605,0.010606906,0.028057605,,,,,,,,,,,,,,,,,,
DE,46003,2.8,2.3,3.3,2001,medi,Medicaid,Delaware,DE-Delaware,129,45874,0.002804165,0.000483222,2.320942588,3.287387303,0.020942588,0.012612697,0.00284568,0.000484982,2.3606973,3.330661866,0.0606973,0.030661866,0.002350761,0.003342459,2.350760555,3.342459214,0.050760555,0.042459214,,,,,,,,,,,,,,,,,,
DC,58799,0.5,0.4,0.7,2001,medi,Medicaid,District of Columbia,DC-District of Columbia,29,58770,0.000493206,0.000179461,0.313744691,0.672666643,0.086255309,0.027333357,0.000525837,0.000182398,0.343439517,0.708235151,0.056560483,0.008235151,0.000336464,0.000718253,0.336464155,0.718253055,0.063535845,0.018253055,,,,,,,,,,,,,,,,,,
FL,904760,1.7,1.6,1.7,2001,medi,Medicaid,Florida,FL-Florida,1538,903222,0.001699898,8.48835E-05,1.615014787,1.784781844,0.015014787,0.084781844,0.001702014,8.49097E-05,1.617104294,1.786923716,0.017104294,0.086923716,0.001616565,0.00178749,1.616565435,1.787490115,0.016565435,0.087490115,,,,,,,,,,,,,,,,,,
GA,540112,2.4,2.3,2.5,2001,medi,Medicaid,Georgia,GA-Georgia,1296,538816,0.002399502,0.00013048,2.269021981,2.52998267,0.030978019,0.02998267,0.002403041,0.000130528,2.272513535,2.533569271,0.027486465,0.033569271,0.002271613,0.00253452,2.27161291,2.534520095,0.02838709,0.034520095,,,,,,,,,,,,,,,,,,
HI,64743,0.7,0.5,0.9,2001,medi,Medicaid,Hawaii,HI-Hawaii,45,64698,0.000695056,0.000203007,0.492049054,0.898062618,0.007950946,0.001937382,0.00072468,0.000205151,0.519528927,0.929830713,0.019528927,0.029830713,0.000512925,0.000938665,0.512924718,0.938665194,0.012924718,0.038665194,,,,,,,,,,,,,,,,,,
ID,82400,6.1,5.6,6.6,2001,medi,Medicaid,Idaho,ID-Idaho,503,81897,0.006104369,0.000531833,5.572535955,6.636201909,0.027464045,0.036201909,0.006127393,0.000532319,5.595074357,6.659711839,0.004925643,0.059711839,0.005589269,0.006666042,5.589269188,6.666041894,0.010730812,0.066041894,,,,,,,,,,,,,,,,,,
IL,761748,2,1.9,2.1,2001,medi,Medicaid,Illinois,IL-Illinois,1523,760225,0.001999349,0.000100312,1.899037041,2.099660691,0.000962959,0.000339309,0.00200186,0.000100343,1.901517242,2.102203251,0.001517242,0.002203251,0.001900877,0.002102876,1.90087729,2.10287606,0.00087729,0.00287606,,,,,,,,,,,,,,,,,,
IN,356775,3,2.8,3.2,2001,medi,Medicaid,Indiana,IN-Indiana,1070,355705,0.002999089,0.000179429,2.81965977,3.178518353,0.01965977,0.021481647,0.00300444,0.000179508,2.824932195,3.183948405,0.024932195,0.016051595,0.002823573,0.003185392,2.823572549,3.185391606,0.023572549,0.014608394,,,,,,,,,,,,,,,,,,
IA,118235,1.7,1.5,2,2001,medi,Medicaid,Iowa,IA-Iowa,201,118034,0.001700004,0.000234818,1.465186654,1.934821804,0.034813346,0.065178196,0.001716193,0.000235371,1.480822302,1.951564669,0.019177698,0.048435331,0.001476885,0.001956084,1.476884613,1.956084077,0.023115387,0.043915923,,,,,,,,,,,,,,,,,,
KS,112351,4.5,4.1,4.9,2001,medi,Medicaid,Kansas,KS-Kansas,506,111845,0.004503743,0.000391531,4.112211672,4.895273797,0.012211672,0.004726203,0.004520684,0.000391891,4.128793238,4.912574679,0.028793238,0.012574679,0.004124535,0.004917217,4.124535479,4.917217196,0.024535479,0.017217196,,,,,,,,,,,,,,,,,,
KY,286937,2.6,2.4,2.8,2001,medi,Medicaid,Kentucky,KY-Kentucky,746,286191,0.002599874,0.000186323,2.413551186,2.786196494,0.013551186,0.013803506,0.002606533,0.00018644,2.420092488,2.792973213,0.020092488,0.007026787,0.002418412,0.002794778,2.418412215,2.794777959,0.018412215,0.005222041,,,,,,,,,,,,,,,,,,
LA,396329,1.6,1.5,1.7,2001,medi,Medicaid,Louisiana,LA-Louisiana,634,395695,0.001599681,0.00012442,1.475261352,1.724100794,0.024738648,0.024100794,0.001604512,0.000124513,1.479998958,1.729024685,0.020001042,0.029024685,0.001478786,0.001730335,1.478786347,1.730335186,0.021213653,0.030335186,,,,,,,,,,,,,,,,,,
ME,73985,12,11.2,12.8,2001,medi,Medicaid,Maine,ME-Maine,888,73097,0.012002433,0.000784673,11.2177597,12.78710615,0.017759701,0.01289385,0.012027769,0.000785062,11.24270768,12.81283129,0.042707675,0.012831292,0.011236168,0.012819807,11.23616803,12.81980713,0.036168027,0.019807132,,,,,,,,,,,,,,,,,,
MD,297394,2.5,2.3,2.7,2001,medi,Medicaid,Maryland,MD-Maryland,743,296651,0.002498369,0.000179418,2.318950716,2.677787618,0.018950716,0.022212382,0.002504795,0.000179532,2.325263008,2.684327685,0.025263008,0.015672315,0.002323642,0.002686069,2.323641948,2.686069103,0.023641948,0.013930897,,,,,,,,,,,,,,,,,,
MA,334015,1.2,1.1,1.3,2001,medi,Medicaid,Massachusetts,MA-Massachusetts,401,333614,0.001200545,0.000117434,1.083110994,1.317978778,0.016889006,0.017978778,0.001206281,0.000117573,1.088708194,1.323854688,0.011291806,0.023854688,0.001087284,0.001325425,1.087284332,1.325424624,0.012715668,0.025424624,,,,,,,,,,,,,,,,,,
MI,592669,7.1,6.9,7.3,2001,medi,Medicaid,Michigan,MI-Michigan,4208,588461,0.007100085,0.00021376,6.886324513,7.313844553,0.013675487,0.013844553,0.007103279,0.000213783,6.889496105,7.317062505,0.010503895,0.017062505,0.006888665,0.007317919,6.888665077,7.317918748,0.011334923,0.017918748,,,,,,,,,,,,,,,,,,
MN,220104,6.5,6.2,6.9,2001,medi,Medicaid,Minnesota,MN-Minnesota,1431,218673,0.006501472,0.000335756,6.165716183,6.83722788,0.034283817,0.06277212,0.006510085,0.000335863,6.174221504,6.845948245,0.025778496,0.054051755,0.006172008,0.006848278,6.172008148,6.848278106,0.027991852,0.051721894,,,,,,,,,,,,,,,,,,
MS,278423,1.6,1.5,1.8,2001,medi,Medicaid,Mississippi,MS-Mississippi,445,277978,0.001598287,0.00014838,1.449907402,1.746667593,0.050092598,0.053332407,0.001605164,0.000148538,1.456625626,1.75370228,0.043374374,0.04629772,0.001454913,0.001755581,1.45491298,1.755581196,0.04508702,0.044418804,,,,,,,,,,,,,,,,,,
MO,429228,3,2.8,3.1,2001,medi,Medicaid,Missouri,MO-Missouri,1288,427940,0.003000736,0.000163631,2.837105276,3.164367135,0.037105276,0.064367135,0.003005184,0.000163691,2.841493516,3.168874797,0.041493516,0.068874797,0.00284036,0.003170071,2.840360301,3.170071318,0.040360301,0.070071318,,,,,,,,,,,,,,,,,,
MT,36697,6.2,5.4,7,2001,medi,Medicaid,Montana,MT-Montana,228,36469,0.006213042,0.000803955,5.4090872,7.016996676,0.0090872,0.016996676,0.006264726,0.000805572,5.459153999,7.070298747,0.059153999,0.070298747,0.005446405,0.007084796,5.446404896,7.084796003,0.046404896,0.084796003,,,,,,,,,,,,,,,,,,
NE,105601,1.1,0.9,1.3,2001,medi,Medicaid,Nebraska,NE-Nebraska,116,105485,0.001098474,0.000199788,0.898685989,1.298262903,0.001314011,0.001737097,0.001116622,0.000200607,0.916014994,1.317229766,0.016014994,0.017229766,0.000911709,0.001322392,0.911709141,1.322392257,0.011709141,0.022392257,,,,,,,,,,,,,,,,,,
NV,53446,4.3,3.8,4.9,2001,medi,Medicaid,Nevada,NV-Nevada,230,53216,0.004303409,0.000554958,3.748450799,4.858367298,0.051549201,0.041632702,0.004339035,0.000556081,3.782954251,4.895115621,0.017045749,0.004884379,0.003774199,0.004905069,3.774199325,4.905069167,0.025800675,0.005069167,,,,,,,,,,,,,,,,,,
NH,45367,4.3,3.7,4.9,2001,medi,Medicaid,New Hampshire,NH-New Hampshire,195,45172,0.004298278,0.000601991,3.696287532,4.900269437,0.003712468,0.000269437,0.004340249,0.000603427,3.736821755,4.943675369,0.036821755,0.043675369,0.003726568,0.004955462,3.726568451,4.955461662,0.026568451,0.055461662,,,,,,,,,,,,,,,,,,
NJ,347409,2.1,2,2.3,2001,medi,Medicaid,New Jersey,NJ-New Jersey,730,346679,0.00210127,0.000152269,1.949000617,2.253538754,0.050999383,0.046461246,0.002106775,0.000152368,1.954407394,2.259142838,0.045592606,0.040857162,0.00195302,0.002260634,1.953020196,2.260634041,0.046979804,0.039365959,,,,,,,,,,,,,,,,,,
NM,196635,1.7,1.5,1.9,2001,medi,Medicaid,New Mexico,NM-New Mexico,334,196301,0.001698579,0.000182008,1.51657022,1.880586949,0.01657022,0.019413051,0.001708313,0.000182267,1.526046476,1.890579933,0.026046476,0.009420067,0.00152364,0.001893258,1.523639598,1.893258419,0.023639598,0.006741581,,,,,,,,,,,,,,,,,,
NY,1085474,2.5,2.4,2.6,2001,medi,Medicaid,New York,NY-New York,2714,1082760,0.00250029,9.39485E-05,2.406341669,2.594238723,0.006341669,0.005761277,0.002502051,9.39649E-05,2.408085969,2.596015683,0.008085969,0.003984317,0.002407634,0.002596485,2.407633973,2.59648494,0.007633973,0.00351506,,,,,,,,,,,,,,,,,,
NC,482049,3.5,3.3,3.6,2001,medi,Medicaid,North Carolina,NC-North Carolina,1687,480362,0.003499644,0.000166707,3.332937481,3.666350973,0.032937481,0.066350973,0.003503601,0.000166753,3.336847789,3.670353846,0.036847789,0.070353846,0.003335835,0.003671416,3.335835171,3.671415685,0.035835171,0.071415685,,,,,,,,,,,,,,,,,,
ND,21553,3.2,2.5,4,2001,medi,Medicaid,North Dakota,ND-North Dakota,69,21484,0.00320141,0.000754169,2.447241584,3.955579369,0.052758416,0.044420631,0.003289941,0.000759281,2.530660116,4.049221222,0.030660116,0.049221222,0.002510175,0.004075115,2.51017494,4.075115271,0.01017494,0.075115271,,,,,,,,,,,,,,,,,,
OH,680239,2.5,2.3,2.6,2001,medi,Medicaid,Ohio,OH-Ohio,1701,678538,0.002500592,0.000118685,2.38190692,2.619276488,0.08190692,0.019276488,0.002503401,0.000118718,2.384683479,2.622118873,0.084683479,0.022118873,0.002383966,0.002622871,2.383965844,2.622871298,0.083965844,0.022871298,,,,,,,,,,,,,,,,,,
OK,277750,1.3,1.2,1.5,2001,medi,Medicaid,Oklahoma,OK-Oklahoma,361,277389,0.00129973,0.000133988,1.165742188,1.433717758,0.034257812,0.066282242,0.001306627,0.000134164,1.172462953,1.440791485,0.027537047,0.059208515,0.001170755,0.001442684,1.170755374,1.442684152,0.029244626,0.057315848,,,,,,,,,,,,,,,,,,
OR,165685,5,4.6,5.3,2001,medi,Medicaid,Oregon,OR-Oregon,828,164857,0.004997435,0.000339541,4.657893935,5.336975848,0.057893935,0.036975848,0.005008911,0.000339731,4.669180495,5.348642337,0.069180495,0.048642337,0.004666265,0.005351762,4.666264747,5.351761967,0.066264747,0.051761967,,,,,,,,,,,,,,,,,,
PA,589318,5.2,5,5.4,2001,medi,Medicaid,Pennsylvania,PA-Pennsylvania,3064,586254,0.00519923,0.000183616,5.01561417,5.382846423,0.01561417,0.017153577,0.005202456,0.000183644,5.018811772,5.386099479,0.018811772,0.013900521,0.005017978,0.005386963,5.017978241,5.386962812,0.017978241,0.013037188,,,,,,,,,,,,,,,,,,
RI,69924,5.2,4.7,5.8,2001,medi,Medicaid,Rhode Island,RI-Rhode Island,364,69560,0.005205652,0.000533383,4.672268846,5.739034855,0.027731154,0.060965145,0.005232833,0.000534061,4.698772679,5.766893693,0.001227321,0.033106307,0.004691986,0.005774408,4.691986493,5.77440771,0.008013507,0.02559229,,,,,,,,,,,,,,,,,,
SC,352715,3.2,3,3.4,2001,medi,Medicaid,South Carolina,SC-South Carolina,1129,351586,0.003200885,0.000186412,3.0144721,3.387297034,0.0144721,0.012702966,0.003206295,0.00018649,3.019805245,3.392785161,0.019805245,0.007214839,0.003018429,0.003394244,3.018428818,3.394243844,0.018428818,0.005756156,,,,,,,,,,,,,,,,,,
SD,47275,2.6,2.1,3.1,2001,medi,Medicaid,South Dakota,SD-South Dakota,123,47152,0.002601798,0.000459202,2.142596383,3.060999598,0.042596383,0.039000402,0.002642212,0.000460958,2.181254141,3.103170162,0.081254141,0.003170162,0.002171607,0.003114672,2.171606734,3.114671981,0.071606734,0.014671981,,,,,,,,,,,,,,,,,,
TN,514766,0.8,0.7,0.9,2001,medi,Medicaid,Tennessee,TN-Tennessee,412,514354,0.000800364,7.72526E-05,0.723111083,0.877616238,0.023111083,0.022383762,0.000804089,7.73421E-05,0.72674687,0.881430984,0.02674687,0.018569016,0.000725822,0.000882449,0.72582236,0.882449062,0.02582236,0.017550938,,,,,,,,,,,,,,,,,,
TX,1054202,1.6,1.6,1.7,2001,medi,Medicaid,Texas,TX-Texas,1687,1052515,0.001600263,7.63017E-05,1.523960901,1.676564235,0.076039099,0.023435765,0.001602079,7.63231E-05,1.525755566,1.678401844,0.074244434,0.021598156,0.001525293,0.001678887,1.525292562,1.67888742,0.074707438,0.02111258,,,,,,,,,,,,,,,,,,
UT,72832,2.9,2.5,3.3,2001,medi,Medicaid,Utah,UT-Utah,211,72621,0.002897078,0.000390335,2.506743583,3.287412832,0.006743583,0.012587168,0.002923296,0.000391204,2.532092214,3.314499934,0.032092214,0.014499934,0.002525688,0.003321824,2.525687801,3.321824478,0.025687801,0.021824478,,,,,,,,,,,,,,,,,,
VT,51215,6.2,5.6,7,2001,medi,Medicaid,Vermont,VT-Vermont,318,50897,0.006209118,0.000680318,5.528800397,6.889436447,0.071199603,0.110563553,0.006246153,0.0006813,5.564853337,6.927453022,0.035146663,0.072546978,0.005555622,0.006937745,5.55562217,6.937745497,0.04437783,0.062254503,,,,,,,,,,,,,,,,,,
VA,260389,2.2,2,2.4,2001,medi,Medicaid,Virginia,VA-Virginia,573,259816,0.002200554,0.00017998,2.020573725,2.380533849,0.020573725,0.019466151,0.002207898,0.000180128,2.027769099,2.388026099,0.027769099,0.011973901,0.002025927,0.002390025,2.025927226,2.390024543,0.025927226,0.009975457,,,,,,,,,,,,,,,,,,
WA,440348,1.2,1.1,1.3,2001,medi,Medicaid,Washington,WA-Washington,528,439820,0.001199052,0.000102214,1.096838103,1.301265215,0.003161897,0.001265215,0.001203403,0.000102306,1.101097316,1.305708695,0.001097316,0.005708695,0.00110001,0.001306892,1.100010166,1.306892433,1.01658E-05,0.006892433,,,,,,,,,,,,,,,,,,
WV,123188,5.2,4.9,5.7,2001,medi,Medicaid,West Virginia,WV-West Virginia,641,122547,0.005203429,0.000401768,4.801660445,5.605197366,0.098339555,0.094802634,0.005218858,0.000402058,4.816799663,5.620916371,0.083200337,0.079083629,0.004812897,0.005625131,4.812896737,5.625130805,0.087103263,0.074869195,,,,,,,,,,,,,,,,,,
WI,238280,6.2,5.9,6.5,2001,medi,Medicaid,Wisconsin,WI-Wisconsin,1477,236803,0.00619859,0.000315138,5.883452056,6.513727732,0.016547944,0.013727732,0.006206551,0.000315236,5.891314811,6.521786475,0.008685189,0.021786475,0.005889269,0.006523938,5.889269468,6.523937798,0.010730532,0.023937798,,,,,,,,,,,,,,,,,,
WY,23603,3.1,2.5,3.9,2001,medi,Medicaid,Wyoming,WY-Wyoming,73,23530,0.003092827,0.000708386,2.384441663,3.801212703,0.115558337,0.098787297,0.003173687,0.000712928,2.460758879,3.886615423,0.039241121,0.013384577,0.002441985,0.003910194,2.44198495,3.910193898,0.05801505,0.010193898,,,,,,,,,,,,,,,,,,
AL,301754,1.8,1.6,1.9,2002,medi,Medicaid,Alabama,AL-Alabama,543,301211,0.001799479,0.000151218,1.648260915,1.950697177,0.048260915,0.050697177,0.001805821,0.00015135,1.654471163,1.957171383,0.054471163,0.057171383,0.001652884,0.001958898,1.652883655,1.958897759,0.052883655,0.058897759,,,,,,,,,,,,,,,,,,
AK,57115,3.9,3.4,4.4,2002,medi,Medicaid,Alaska,AK-Alaska,223,56892,0.003904403,0.000511447,3.392956142,4.415850651,0.007043858,0.015850651,0.003937768,0.000512517,3.425250509,4.450284907,0.025250509,0.050284907,0.003417067,0.004459608,3.417067007,4.459608119,0.017067007,0.059608119,,,,,,,,,,,,,,,,,,
AZ,373705,3.9,3.8,4.2,2002,medi,Medicaid,Arizona,AZ-Arizona,1457,372248,0.003898797,0.000199802,3.698994784,4.098599575,0.101005216,0.101400425,0.003903897,0.000199866,3.704030308,4.103763181,0.095969692,0.096236819,0.003702727,0.004105135,3.702726508,4.105135255,0.097273492,0.094864745,,,,,,,,,,,,,,,,,,
AR,249902,5,4.7,5.3,2002,medi,Medicaid,Arkansas,AR-Arkansas,1250,248652,0.005001961,0.000276595,4.725365671,5.278555866,0.025365671,0.021444134,0.00500957,0.000276698,4.732872082,5.286267303,0.032872082,0.013732697,0.004730926,0.005288323,4.730926353,5.28832307,0.030926353,0.01167693,,,,,,,,,,,,,,,,,,
CA,2695067,1.4,1.4,1.4,2002,medi,Medicaid,California,CA-California,3773,2691294,0.001399965,4.46393E-05,1.355325861,1.444604531,0.044674139,0.044604531,0.001400676,4.4645E-05,1.356030922,1.445320843,0.043969078,0.045320843,0.001355848,0.001445509,1.355848352,1.44550932,0.044151648,0.04550932,,,,,,,,,,,,,,,,,,
CO,156929,2,1.8,2.2,2002,medi,Medicaid,Colorado,CO-Colorado,314,156615,0.002000905,0.000221093,1.779811975,2.22199776,0.020188025,0.02199776,0.002013095,0.000221426,1.791669074,2.234521065,0.008330926,0.034521065,0.001788658,0.002237882,1.788658471,2.237882475,0.011341529,0.037882475,,,,,,,,,,,,,,,,,,
CT,182671,0.6,0.5,0.8,2002,medi,Medicaid,Connecticut,CT-Connecticut,110,182561,0.000602175,0.000112498,0.489677696,0.714673295,0.010322304,0.085326705,0.000612677,0.000112986,0.499691567,0.725663041,0.000308433,0.074336959,0.000497209,0.000728654,0.49720916,0.728654267,0.00279084,0.071345733,,,,,,,,,,,,,,,,,,
DE,49318,4,3.5,4.6,2002,medi,Medicaid,Delaware,DE-Delaware,197,49121,0.003994485,0.000556681,3.437803489,4.551166055,0.062196511,0.048833945,0.004033116,0.000557998,3.475117941,4.59111493,0.024882059,0.00888507,0.003465683,0.004601954,3.465682738,4.601953823,0.034317262,0.001953823,,,,,,,,,,,,,,,,,,
