"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor"
"GA",656791,3.3,3.2,3.5,2003,"medi","Medicaid","Georgia","GA-Georgia",2167,654624,0.003299375,3.162819019,3.44177366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"HI",71906,0.7,0.5,0.9,2003,"medi","Medicaid","Hawaii","HI-Hawaii",50,71856,0.000695352,0.521524401,0.924433378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"ID",97498,8.1,7.6,8.7,2003,"medi","Medicaid","Idaho","ID-Idaho",790,96708,0.00810273,7.554107401,8.690466599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"IL",813830,2.4,2.3,2.5,2003,"medi","Medicaid","Illinois","IL-Illinois",1953,811877,0.002399764,2.295183777,2.509069068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"IN",398970,4.5,4.3,4.7,2003,"medi","Medicaid","Indiana","IN-Indiana",1795,397175,0.004499085,4.294913921,4.712855645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"IA",139481,2.6,2.3,2.9,2003,"medi","Medicaid","Iowa","IA-Iowa",363,139118,0.002602505,2.345080539,2.887693274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"KS",127906,5.1,4.7,5.5,2003,"medi","Medicaid","Kansas","KS-Kansas",652,127254,0.005097493,4.718043931,5.506966911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"KY",305029,3.3,3.1,3.5,2003,"medi","Medicaid","Kentucky","KY-Kentucky",1007,304022,0.003301325,3.102331803,3.512930224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"LA",498414,2,1.9,2.1,2003,"medi","Medicaid","Louisiana","LA-Louisiana",997,497417,0.002000345,1.87910976,2.129318953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"ME",85462,15.4,14.6,16.2,2003,"medi","Medicaid","Maine","ME-Maine",1316,84146,0.015398657,14.58894288,16.25224221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","High","2003"
"MD",331647,4.8,4.6,5,2003,"medi","Medicaid","Maryland","MD-Maryland",1592,330055,0.004800285,4.569247816,5.042866603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"MA",339011,1.5,1.4,1.7,2003,"medi","Medicaid","Massachusetts","MA-Massachusetts",509,338502,0.001501426,1.375205463,1.639071884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"MI",676109,6.3,6.1,6.5,2003,"medi","Medicaid","Michigan","MI-Michigan",4259,671850,0.00629928,6.112748809,6.491443581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"MN",250920,8.6,8.3,9,2003,"medi","Medicaid","Minnesota","MN-Minnesota",2158,248762,0.008600351,8.244551175,8.97127914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"MS",292406,1.9,1.8,2.1,2003,"medi","Medicaid","Mississippi","MS-Mississippi",556,291850,0.001901466,1.748334429,2.067825996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"MO",463143,3.6,3.4,3.8,2003,"medi","Medicaid","Missouri","MO-Missouri",1667,461476,0.00359932,3.429863664,3.777063007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"MT",40132,8.7,7.8,9.6,2003,"medi","Medicaid","Montana","MT-Montana",349,39783,0.008696302,7.821947175,9.665992085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"NE",105068,1.5,1.3,1.8,2003,"medi","Medicaid","Nebraska","NE-Nebraska",158,104910,0.001503788,1.282616578,1.762147899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"NV",88989,3.7,3.3,4.1,2003,"medi","Medicaid","Nevada","NV-Nevada",329,88660,0.003697086,3.31387183,4.123750091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"NH",54281,7,6.3,7.7,2003,"medi","Medicaid","New Hampshire","NH-New Hampshire",380,53901,0.007000608,6.324498478,7.747406638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"NJ",367528,2.6,2.5,2.8,2003,"medi","Medicaid","New Jersey","NJ-New Jersey",956,366572,0.002601162,2.440290034,2.772518212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"NM",221257,1.6,1.5,1.8,2003,"medi","Medicaid","New Mexico","NM-New Mexico",354,220903,0.001599949,1.439701956,1.777737443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"NY",1351815,2.6,2.5,2.7,2003,"medi","Medicaid","New York","NY-New York",3515,1348300,0.002600208,2.515398437,2.687856397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"NC",537981,3.9,3.7,4.1,2003,"medi","Medicaid","North Carolina","NC-North Carolina",2098,535883,0.003899766,3.735815193,4.070841055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"ND",24670,6,5.1,7,2003,"medi","Medicaid","North Dakota","ND-North Dakota",148,24522,0.005999189,5.090845643,7.064579261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"OH",767543,2.9,2.8,3,2003,"medi","Medicaid","Ohio","OH-Ohio",2226,765317,0.002900163,2.781684554,3.023644703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"OK",298071,1.5,1.3,1.6,2003,"medi","Medicaid","Oklahoma","OK-Oklahoma",447,297624,0.001499643,1.365402391,1.646886912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"OR",174605,6.2,5.9,6.6,2003,"medi","Medicaid","Oregon","OR-Oregon",1083,173522,0.006202572,5.842239968,6.584799398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"PA",638268,4.9,4.7,5.1,2003,"medi","Medicaid","Pennsylvania","PA-Pennsylvania",3128,635140,0.004900763,4.731625932,5.075886232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"RI",74320,7.2,6.6,7.8,2003,"medi","Medicaid","Rhode Island","RI-Rhode Island",535,73785,0.007198601,6.60932226,7.839383692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"SC",401466,3.5,3.3,3.6,2003,"medi","Medicaid","South Carolina","SC-South Carolina",1405,400061,0.003499674,3.320476743,3.688436919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"SD",53420,2.8,2.4,3.3,2003,"medi","Medicaid","South Dakota","SD-South Dakota",150,53270,0.002807937,2.38494292,3.303919466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"TN",489562,0.8,0.7,0.9,2003,"medi","Medicaid","Tennessee","TN-Tennessee",392,489170,0.000800716,0.724331853,0.885034587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"TX",1538529,1.5,1.5,1.6,2003,"medi","Medicaid","Texas","TX-Texas",2308,1536221,0.001500134,1.4398926,1.562878406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"UT",90071,3.1,2.8,3.5,2003,"medi","Medicaid","Utah","UT-Utah",279,89792,0.003097556,2.750006478,3.488136673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"VT",52490,7.6,6.9,8.4,2003,"medi","Medicaid","Vermont","VT-Vermont",399,52091,0.007601448,6.884550896,8.391334372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"VA",308865,2.7,2.6,2.9,2003,"medi","Medicaid","Virginia","VA-Virginia",834,308031,0.002700209,2.521716173,2.89118086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"WA",493226,1.6,1.5,1.7,2003,"medi","Medicaid","Washington","WA-Washington",789,492437,0.001599672,1.490978204,1.716200497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"WV",139175,5.7,5.3,6.1,2003,"medi","Medicaid","West Virginia","WV-West Virginia",793,138382,0.005697862,5.312365282,6.110893621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"WI",291200,7.1,6.8,7.4,2003,"medi","Medicaid","Wisconsin","WI-Wisconsin",2068,289132,0.007101648,6.801413647,7.414960535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2003"
"WY",32579,2.7,2.2,3.3,2003,"medi","Medicaid","Wyoming","WY-Wyoming",88,32491,0.002701126,2.179402008,3.343288133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2003"
"AL",326144,19.5,19,19.9,2004,"medi","Medicaid","Alabama","AL-Alabama",6360,319784,0.019500589,19.03014266,19.98239021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","High","2004"
"AK",59999,4.4,3.9,5,2004,"medi","Medicaid","Alaska","AK-Alaska",264,59735,0.004400073,3.893434649,4.971166621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"AZ",458585,4.3,4.1,4.5,2004,"medi","Medicaid","Arizona","AZ-Arizona",1972,456613,0.004300184,4.11384032,4.494880657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"AR",292778,4.5,4.3,4.8,2004,"medi","Medicaid","Arkansas","AR-Arkansas",1318,291460,0.004501704,4.263971518,4.752531169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"CA",2870079,1.9,1.8,1.9,2004,"medi","Medicaid","California","CA-California",5453,2864626,0.001899948,1.850058,1.951175377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"CO",197589,2.5,2.3,2.7,2004,"medi","Medicaid","Colorado","CO-Colorado",494,197095,0.002500139,2.28698778,2.732856739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"CT",195864,0.5,0.4,0.6,2004,"medi","Medicaid","Connecticut","CT-Connecticut",98,195766,0.000500347,0.408323029,0.612466781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"DE",54121,3.5,3,4,2004,"medi","Medicaid","Delaware","DE-Delaware",189,53932,0.003492175,3.02060315,4.035531847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"DC",62570,0.9,0.7,1.2,2004,"medi","Medicaid","District of Columbia","DC-District of Columbia",56,62514,0.000894998,0.682393136,1.170955307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"FL",1054779,2.3,2.2,2.4,2004,"medi","Medicaid","Florida","FL-Florida",2426,1052353,0.002300008,2.209919969,2.393739753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"GA",705383,3.8,3.7,3.9,2004,"medi","Medicaid","Georgia","GA-Georgia",2680,702703,0.003799354,3.65776605,3.946373923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"HI",74716,1,0.8,1.2,2004,"medi","Medicaid","Hawaii","HI-Hawaii",75,74641,0.001003801,0.795013882,1.265399086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"ID",103459,9.6,9,10.2,2004,"medi","Medicaid","Idaho","ID-Idaho",993,102466,0.009598005,9.017159685,10.21556257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"IL",865273,2.5,2.4,2.6,2004,"medi","Medicaid","Illinois","IL-Illinois",2163,863110,0.002499789,2.396193611,2.607826188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"IN",417564,4.9,4.7,5.1,2004,"medi","Medicaid","Indiana","IN-Indiana",2046,415518,0.004899848,4.691389924,5.117466393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"IA",148588,2.9,2.6,3.1,2004,"medi","Medicaid","Iowa","IA-Iowa",431,148157,0.002900638,2.636537634,3.190756761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"KS",133708,6.1,5.7,6.6,2004,"medi","Medicaid","Kansas","KS-Kansas",816,132892,0.006102851,5.695740972,6.53859379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"KY",315654,3.3,3.1,3.6,2004,"medi","Medicaid","Kentucky","KY-Kentucky",1042,314612,0.003301083,3.105398723,3.508951941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"LA",536048,2.2,2.1,2.3,2004,"medi","Medicaid","Louisiana","LA-Louisiana",1179,534869,0.00219943,2.076633338,2.329414195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"ME",88494,16.9,16,17.7,2004,"medi","Medicaid","Maine","ME-Maine",1496,86998,0.016905101,16.07094831,17.78147217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","High","2004"
"MD",331587,5.4,5.1,5.6,2004,"medi","Medicaid","Maryland","MD-Maryland",1791,329796,0.005401297,5.156017386,5.658106446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"MA",337855,1.7,1.6,1.9,2004,"medi","Medicaid","Massachusetts","MA-Massachusetts",574,337281,0.001698954,1.56421635,1.845143071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"MI",708548,6.1,5.9,6.3,2004,"medi","Medicaid","Michigan","MI-Michigan",4322,704226,0.006099798,5.920463826,6.284509361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"MN",256887,10,9.6,10.4,2004,"medi","Medicaid","Minnesota","MN-Minnesota",2569,254318,0.010000506,9.621083361,10.39465745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","High","2004"
"MS",293894,2.1,1.9,2.3,2004,"medi","Medicaid","Mississippi","MS-Mississippi",617,293277,0.002099396,1.938663792,2.273278529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"MO",478509,4.1,4,4.3,2004,"medi","Medicaid","Missouri","MO-Missouri",1962,476547,0.004100236,3.92209544,4.286385296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"MT",41884,7.8,7,8.7,2004,"medi","Medicaid","Montana","MT-Montana",327,41557,0.007807277,6.997056347,8.70905104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"NE",108382,1.9,1.6,2.1,2004,"medi","Medicaid","Nebraska","NE-Nebraska",206,108176,0.001900685,1.654137878,2.183165764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"NV",96629,3.3,3,3.7,2004,"medi","Medicaid","Nevada","NV-Nevada",319,96310,0.003301286,2.953933735,3.688693795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"NH",56488,8.2,7.5,9,2004,"medi","Medicaid","New Hampshire","NH-New Hampshire",463,56025,0.008196431,7.477169982,8.983373162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"NJ",371750,3,2.8,3.2,2004,"medi","Medicaid","New Jersey","NJ-New Jersey",1115,370635,0.002999328,2.827298205,3.181706715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"NM",228934,1.8,1.6,2,2004,"medi","Medicaid","New Mexico","NM-New Mexico",412,228522,0.001799645,1.632108041,1.984111747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"NY",1375277,3,2.9,3.1,2004,"medi","Medicaid","New York","NY-New York",4126,1371151,0.003000123,2.909737633,3.093295636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"NC",566243,4.5,4.3,4.6,2004,"medi","Medicaid","North Carolina","NC-North Carolina",2548,563695,0.004499835,4.327971198,4.678455619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"ND",24625,8.3,7.3,9.5,2004,"medi","Medicaid","North Dakota","ND-North Dakota",204,24421,0.008284264,7.207434843,9.517227427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"OH",802186,3.5,3.4,3.7,2004,"medi","Medicaid","Ohio","OH-Ohio",2808,799378,0.003500435,3.372935349,3.632712892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"OK",311496,1.8,1.6,1.9,2004,"medi","Medicaid","Oklahoma","OK-Oklahoma",561,310935,0.001800986,1.65656845,1.957824036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"OR",178898,6.4,6.1,6.8,2004,"medi","Medicaid","Oregon","OR-Oregon",1145,177753,0.006400295,6.038500071,6.783448046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"PA",677306,5.1,5,5.3,2004,"medi","Medicaid","Pennsylvania","PA-Pennsylvania",3454,673852,0.005099615,4.932038917,5.272829786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"RI",76203,8.1,7.5,8.8,2004,"medi","Medicaid","Rhode Island","RI-Rhode Island",617,75586,0.008096794,7.478530329,8.765160872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"SC",371453,4.1,3.9,4.3,2004,"medi","Medicaid","South Carolina","SC-South Carolina",1523,369930,0.004100115,3.898372609,4.312181262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"SD",54810,2.7,2.3,3.2,2004,"medi","Medicaid","South Dakota","SD-South Dakota",148,54662,0.002700237,2.290874467,3.180762233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"TN",503828,1.5,1.4,1.6,2004,"medi","Medicaid","Tennessee","TN-Tennessee",756,503072,0.001500512,1.396407584,1.612288716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"TX",1710039,1.6,1.5,1.6,2004,"medi","Medicaid","Texas","TX-Texas",2736,1707303,0.001599964,1.54088227,1.6612949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"UT",97080,3,2.6,3.3,2004,"medi","Medicaid","Utah","UT-Utah",291,96789,0.002997528,2.667897606,3.367077366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"VT",52366,8.5,7.7,9.3,2004,"medi","Medicaid","Vermont","VT-Vermont",445,51921,0.00849788,7.737839441,9.330901755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"VA",338551,3,2.8,3.2,2004,"medi","Medicaid","Virginia","VA-Virginia",1016,337535,0.003001025,2.82089277,3.192526036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"WA",472691,1.6,1.5,1.7,2004,"medi","Medicaid","Washington","WA-Washington",756,471935,0.001599353,1.488396327,1.718486549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","Low","Low","2004"
"WV",142482,6.4,6,6.8,2004,"medi","Medicaid","West Virginia","WV-West Virginia",912,141570,0.006400809,5.996424962,6.832032667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
"WI",307314,5.1,4.9,5.4,2004,"medi","Medicaid","Wisconsin","WI-Wisconsin",1567,305747,0.005099019,4.851724089,5.358766791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDI","MEDI Medicaid","High","Medium","2004"
