"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","State_Region","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor","R10_Denominator","RMD_Year","RMD_R10_Denominator"
"KY",315654,3.3,3.1,3.6,2004,"medi","Medicaid","Kentucky","KY-Kentucky",1042,314612,0.003301083,3.105398723,3.508951941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","MEDI","MEDI Medicaid","Low","Low",2004,5.49921129712265,-0.505868069607446,-0.0818421521303219
"TX",4513821,8.3,8.2,8.4,2013,"sped","Special Education Child Count","Texas","TX-Texas",37465,4476356,0.008300063,8.216674126,8.384290486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","SPED","SPED Special Education Child Count","High","Medium",2013,6.65454433270948,1.01173613921489,1.8491371235394
"CA",5717500,12,11.9,12.1,2014,"sped","Special Education Child Count","California","CA-California",68610,5648890,0.012,11.91098897,12.08966743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","SPED","SPED Special Education Child Count","High","High",2014,6.75720617327879,1.18035882908404,2.02072218207688
"SD",121369,9,8.5,9.5,2016,"sped","Special Education Child Count","South Dakota","SD-South Dakota",1092,120277,0.008997355,8.477439638,9.548592161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","High","Medium",2016,5.08410777365716,1.51760420882234,-0.775630242992118
"AL",326457,20.6,20.1,21.1,2006,"medi","Medicaid","Alabama","AL-Alabama",6725,319732,0.020599957,20.11680793,21.09442272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","MEDI","MEDI Medicaid","High","Very High",2006,5.51382598532762,-0.168622689869149,-0.0574157234081197
"NJ",1206035,6.9,6.8,7.1,2007,"sped","Special Education Child Count","New Jersey","NJ-New Jersey",8322,1197713,0.006900297,6.753709459,7.050035095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","SPED","SPED Special Education Child Count","High","Medium",2007,6.08135991152412,0,0.891138689881272
"TN",811052,1.1,1,1.1,2000,"sped","Special Education Child Count","Tennessee","TN-Tennessee",892,810160,0.001099806,1.029399863,1.174978809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","SPED","SPED Special Education Child Count","Low","Low",2000,5.90904869957378,-1.18035882908404,0.603144346265333
"NV",1705,7.2,4.2,12.3,2004,"nsch","National Survey of Children's Health","Nevada","NV-Nevada",12,1693,0.007038123,3.817658275,12.63253375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","NSCH","NSCH National Survey of Children's Health","High","Medium",2004,3.23172438332852,-0.505868069607446,-3.87163271772669
"TN",517279,3.5,3.3,3.6,2008,"medi","Medicaid","Tennessee","TN-Tennessee",1810,515469,0.003499079,3.340863078,3.664713128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","MEDI","MEDI Medicaid","Low","Low",2008,5.71372484769336,0.168622689869149,0.276687559860451
"AR",437275,8.3,8,8.6,2014,"sped","Special Education Child Count","Arkansas","AR-Arkansas",3629,433646,0.008299125,8.033394612,8.573531754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","SPED","SPED Special Education Child Count","High","Medium",2014,5.64075464845757,1.18035882908404,0.154727970611595
"WI",793991,3.9,3.8,4,2003,"sped","Special Education Child Count","Wisconsin","WI-Wisconsin",3097,790894,0.003900548,3.76520344,4.040714985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","SPED","SPED Special Education Child Count","Low","Low",2003,5.89981557966577,-0.674490759476595,0.58771246416471
"NJ",419475,5.9,5.7,6.1,2008,"medi","Medicaid","New Jersey","NJ-New Jersey",2475,417000,0.005900232,5.671782193,6.137778836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","MEDI","MEDI Medicaid","High","Medium",2008,5.62270608271995,0.168622689869149,0.124562290828012
"CA",2960114,4.4,4.4,4.5,2009,"medi","Medicaid","California","CA-California",13025,2947089,0.004400168,4.325241438,4.476384505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","Low","Low",2009,6.47130843694325,0.337245379738298,1.54288368285627
"NY",1193,24.8,16.2,37.8,2016,"nsch","National Survey of Children's Health","New York","NY-New York",30,1163,0.025146689,17.32378157,36.15933001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","NSCH","NSCH National Survey of Children's Health","High","Very High",2016,3.07664044367034,1.51760420882234,-4.13083405988951
"FL",1590,17.9,10.8,29.4,2012,"nsch","National Survey of Children's Health","Florida","FL-Florida",28,1562,0.017610063,11.95376243,25.70284968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","NSCH","NSCH National Survey of Children's Health","High","High",2012,3.20139712432045,0.843113449345744,-3.92232053399145
"CT",163068,0.5,0.4,0.6,2000,"medi","Medicaid","Connecticut","CT-Connecticut",82,162986,0.000502858,0.402443151,0.627464704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","Low","Low",2000,5.21236874468879,-1.18035882908404,-0.561259780700641
"MI",1347,28.4,16,50,2016,"nsch","National Survey of Children's Health","Michigan","MI-Michigan",38,1309,0.028210839,20.30722374,38.90896845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","NSCH","NSCH National Survey of Children's Health","High","Very High",2016,3.12936759572299,1.51760420882234,-4.04270792245327
"TX",2396762,4.5,4.4,4.6,2011,"medi","Medicaid","Texas","TX-Texas",10785,2385977,0.004499821,4.415671605,4.585562666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","MEDI","MEDI Medicaid","Low","Low",2011,6.37962491045481,0.674490759476595,1.3896473569517
"MA",339011,1.5,1.4,1.7,2003,"medi","Medicaid","Massachusetts","MA-Massachusetts",509,338502,0.001501426,1.375205463,1.639071884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","Low","Low",2003,5.53021379012578,-0.674490759476595,-0.0300257756923881
"AR",412602,1.6,1.5,1.7,2000,"sped","Special Education Child Count","Arkansas","AR-Arkansas",660,411942,0.001599604,1.481052706,1.727528832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","SPED","SPED Special Education Child Count","Low","Low",2000,5.6155313287919,-1.18035882908404,0.112570682593555
"GA",45190,8.9,8,9.8,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",402,44788,0.008895773,8.060295606,9.81580426,14.1,12.6,15.7,3.6,2.8,4.4,9.7,8.4,11.3,7.9,6.8,9.3,6.4,4.5,9,8.1,5.2,12.6,"D5 South Atlantic","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium",2004,4.6550423413312,-0.505868069607446,-1.49275373224373
"WV",250295,2.6,2.4,2.8,2005,"sped","Special Education Child Count","West Virginia","WV-West Virginia",651,249644,0.002600931,2.406963227,2.810318968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","Low","Low",2005,5.39845217404251,-0.337245379738298,-0.250247081712883
"IN",952511,14.2,13.9,14.4,2016,"sped","Special Education Child Count","Indiana","IN-Indiana",13526,938985,0.014200361,13.96418612,14.44046285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","SPED","SPED Special Education Child Count","High","High",2016,5.97886999979303,1.51760420882234,0.719840986602639
"MN",1523,35.1,24.2,50.8,2016,"nsch","National Survey of Children's Health","Minnesota","MN-Minnesota",53,1470,0.034799737,26.41714312,45.60589465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","NSCH","NSCH National Survey of Children's Health","High","Very High",2016,3.18269990333604,1.51760420882234,-3.95357035124884
"MI",731817,6.2,6,6.4,2005,"medi","Medicaid","Michigan","MI-Michigan",4537,727280,0.006199637,6.021700588,6.382777881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","MEDI","MEDI Medicaid","High","Medium",2005,5.86440249386395,-0.337245379738298,0.528524392271568
"CO",677622,1,0.9,1,2002,"sped","Special Education Child Count","Colorado","CO-Colorado",678,676944,0.001000558,0.927347318,1.07948142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2002,5.83098749756394,-0.843113449345744,0.472675850453389
"CO",1326,19.1,11.9,30.5,2016,"nsch","National Survey of Children's Health","Colorado","CO-Colorado",25,1301,0.018853695,12.49728137,28.13031024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","NSCH","NSCH National Survey of Children's Health","High","High",2016,3.12254352406875,1.51760420882234,-4.05411341380003
"GA",1589860,10.3,10.1,10.5,2016,"sped","Special Education Child Count","Georgia","GA-Georgia",16376,1573484,0.010300278,10.14420079,10.45872641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","High","High",2016,6.20135888287114,1.51760420882234,1.0917003631265
"AZ",526254,11.3,11,11.6,2010,"medi","Medicaid","Arizona","AZ-Arizona",5947,520307,0.011300627,11.01765058,11.59076114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","High",2010,5.72119540988187,0.505868069607446,0.289173570663643
"AZ",32601,15.6,14.3,17,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",509,32092,0.015613018,14.30853901,17.03293623,25.1,22.8,27.6,5.4,4.4,6.7,20.7,18.5,23.1,16.1,11.2,23.1,8.9,7.5,10.6,19,11.8,30.6,"D8 Mountain","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High",2008,4.51323092178024,0.168622689869149,-1.72977189390923
"WY",34461,3.9,3.3,4.6,2005,"medi","Medicaid","Wyoming","WY-Wyoming",134,34327,0.003888454,3.2710818,4.618852094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","Low","Low",2005,4.53732787578701,-0.337245379738298,-1.68949717020568
"AK",122904,2,1.8,2.3,2002,"sped","Special Education Child Count","Alaska","AK-Alaska",246,122658,0.002001562,1.762961327,2.27179858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","SPED","SPED Special Education Child Count","Low","Low",2002,5.089566017546,-0.843113449345744,-0.76650754373029
"AZ",853801,1.9,1.8,2,2002,"sped","Special Education Child Count","Arizona","AZ-Arizona",1622,852179,0.00189974,1.809018527,1.994972219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2002,5.9313566591283,-0.843113449345744,0.640429013331382
"OH",1564662,11.2,11.1,11.4,2014,"sped","Special Education Child Count","Ohio","OH-Ohio",17524,1547138,0.011199863,11.03585008,11.36628065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","SPED","SPED Special Education Child Count","High","High",2014,6.19442053524427,1.18035882908404,1.08010387530681
"NY",1508552,8.4,8.2,8.5,2012,"medi","Medicaid","New York","NY-New York",12672,1495880,0.008400108,8.255386915,8.547338816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","MEDI","MEDI Medicaid","High","Medium",2012,6.17856028496101,0.843113449345744,1.05359566195137
"ND",24625,8.3,7.3,9.5,2004,"medi","Medicaid","North Dakota","ND-North Dakota",204,24421,0.008284264,7.207434843,9.517227427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","High","Medium",2004,4.39137623916965,-0.505868069607446,-1.93343513170875
"KY",593147,1.4,1.3,1.5,2000,"sped","Special Education Child Count","Kentucky","KY-Kentucky",830,592317,0.001399316,1.306545427,1.498601708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","SPED","SPED Special Education Child Count","Low","Low",2000,5.7731623381826,-1.18035882908404,0.376029099310363
"NC",1415113,11.2,11,11.4,2016,"sped","Special Education Child Count","North Carolina","NC-North Carolina",15849,1399264,0.011199812,11.02739848,11.37488534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","High","High",2016,6.15079112064972,1.51760420882234,1.00718334694254
"DC",62544,0.9,0.7,1.1,2005,"medi","Medicaid","District of Columbia","DC-District of Columbia",56,62488,0.00089537,0.682676837,1.171442008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2005,4.79618565308817,-0.337245379738298,-1.25685222029254
"MD",275403,1.9,1.8,2.1,2000,"medi","Medicaid","Maryland","MD-Maryland",523,274880,0.001899035,1.741498827,2.070621974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2000,5.43996866677185,-1.18035882908404,-0.180858009826675
"NJ",32581,24.6,23,26.4,2012,"addm","Autism & Developmental Disabilities Monitoring Network","New Jersey","NJ-New Jersey",801,31780,0.024584881,22.94376838,26.33910986,39.1,36.2,42.2,9.3,7.9,10.9,26.6,24,29.5,23.7,20.3,27.5,17.6,15.1,20.4,21.9,16,30,"D2 Middle Atlantic","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Very High",2012,4.51296440986251,0.843113449345744,-1.73021733169556
"OK",252657,1.1,1,1.3,2000,"medi","Medicaid","Oklahoma","OK-Oklahoma",278,252379,0.001100306,0.976536193,1.2394781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","MEDI","MEDI Medicaid","Low","Low",2000,5.40253133510645,-1.18035882908404,-0.243429328533531
"NJ",1213556,4.5,4.4,4.6,2004,"sped","Special Education Child Count","New Jersey","NJ-New Jersey",5461,1208095,0.004499998,4.382068415,4.621076099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","SPED","SPED Special Education Child Count","Low","Low",2004,6.08405982181327,-0.505868069607446,0.895651216273168
"OH",996369,8,7.9,8.2,2012,"medi","Medicaid","Ohio","OH-Ohio",7971,988398,0.008000048,7.826518467,8.177382522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","MEDI","MEDI Medicaid","High","Medium",2012,5.99842020688296,0.843113449345744,0.752516452085658
"DE",117428,7.1,6.6,7.6,2011,"sped","Special Education Child Count","Delaware","DE-Delaware",834,116594,0.007102224,6.633671468,7.603310513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","High","Medium",2011,5.06977166416551,0.674490759476595,-0.799591065949146
"HI",78809,2,1.7,2.3,2005,"medi","Medicaid","Hawaii","HI-Hawaii",158,78651,0.002004847,1.71003878,2.349184893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","Low","Low",2005,4.8965758168188,-0.337245379738298,-1.08906395520024
"GA",48529,15.5,14.5,16.7,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",752,47777,0.015495889,14.42475415,16.64444128,25.4,23.5,27.5,5.5,4.6,6.5,18.2,16.2,20.4,14,12.5,15.7,10.7,8.7,13.1,12.3,9,16.9,"D5 South Atlantic","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High",2010,4.68600134223314,0.505868069607446,-1.44101004683382
"DC",59545,1.6,1.4,2,2007,"medi","Medicaid","District of Columbia","DC-District of Columbia",95,59450,0.001595432,1.297862045,1.958981476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2007,4.77484529959585,0,-1.29251966773829
"AZ",616380,12.5,12.3,12.8,2012,"medi","Medicaid","Arizona","AZ-Arizona",7705,608675,0.012500406,12.22525903,12.78164637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","High",2012,5.78984853849779,0.843113449345744,0.403917773836091
"PA",677306,5.1,5,5.3,2004,"medi","Medicaid","Pennsylvania","PA-Pennsylvania",3454,673852,0.005099615,4.932038917,5.272829786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","MEDI","MEDI Medicaid","High","Medium",2004,5.83078492287544,-0.505868069607446,0.472337274897062
"MT",1564,25.3,16.4,39,2012,"nsch","National Survey of Children's Health","Montana","MT-Montana",40,1524,0.025575448,18.56587878,35.00369582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","NSCH","NSCH National Survey of Children's Health","High","Very High",2012,3.19423674872383,0.843113449345744,-3.93428811083484
"IA",129963,3.3,3,3.6,2002,"medi","Medicaid","Iowa","IA-Iowa",429,129534,0.003300939,2.999768418,3.631834503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","Low","Low",2002,5.11381972782228,-0.843113449345744,-0.725970823616674
"LA",580569,4.4,4.3,4.6,2010,"medi","Medicaid","Louisiana","LA-Louisiana",2555,578014,0.004400855,4.232991016,4.575310629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","MEDI","MEDI Medicaid","Low","Low",2010,5.76385384257321,0.505868069607446,0.360471237156567
"WY",80215,5.6,5.1,6.2,2009,"sped","Special Education Child Count","Wyoming","WY-Wyoming",449,79766,0.005597457,5.098361206,6.144474669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","High","Medium",2009,4.90425558783654,0.337245379738298,-1.07622828079262
"CA",5784387,3.1,3.1,3.2,2003,"sped","Special Education Child Count","California","CA-California",17932,5766455,0.003100069,3.055008791,3.145790865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","SPED","SPED Special Education Child Count","Low","Low",2003,6.76225734139955,-0.674490759476595,2.02916451052995
"FL",2305437,2.1,2,2.1,2002,"sped","Special Education Child Count","Florida","FL-Florida",4841,2300596,0.002099819,2.041339939,2.15996305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","Low","Low",2002,6.36275325887978,-0.843113449345744,1.36144872631084
"MT",134039,2.1,1.9,2.4,2005,"sped","Special Education Child Count","Montana","MT-Montana",281,133758,0.002096405,1.861890923,2.359890934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2005,5.12723117911473,-0.337245379738298,-0.703555438870744
"MN",259444,15,14.5,15.5,2007,"medi","Medicaid","Minnesota","MN-Minnesota",3892,255552,0.01500131,14.53879777,15.47824445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","High","High",2007,5.41404363148875,0,-0.224188118384711
"SC",630448,2.2,2.1,2.3,2004,"sped","Special Education Child Count","South Carolina","SC-South Carolina",1387,629061,0.002200023,2.08659082,2.31956282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","Low","Low",2004,5.79964927133038,-0.505868069607446,0.42029834238489
"WA",1453,14.6,8.3,25.4,2008,"nsch","National Survey of Children's Health","Washington","WA-Washington",21,1432,0.014452856,9.199712848,22.40699822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","NSCH","NSCH National Survey of Children's Health","High","High",2008,3.16226561429802,0.168622689869149,-3.98772343735481
"SC",403235,7.3,7.1,7.6,2010,"medi","Medicaid","South Carolina","SC-South Carolina",2944,400291,0.007300954,7.041623726,7.569715047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","High","Medium",2010,5.60555822097509,0.505868069607446,0.0959020131146252
"HI",81478,2.1,1.8,2.4,2007,"medi","Medicaid","Hawaii","HI-Hawaii",171,81307,0.002098726,1.801421162,2.443892252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","Low","Low",2007,4.91104036004801,0,-1.06488847302557
"CA",2870079,1.9,1.8,1.9,2004,"medi","Medicaid","California","CA-California",5453,2864626,0.001899948,1.850058,1.951175377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","Low","Low",2004,6.45789385101688,-0.505868069607446,1.52046305900354
"VA",469296,10,9.8,10.3,2011,"medi","Medicaid","Virginia","VA-Virginia",4693,464603,0.010000085,9.718347069,10.28987522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","High","High",2011,5.67144685256039,0.674490759476595,0.206025742095363
"SD",1513,17.2,10.7,27.5,2012,"nsch","National Survey of Children's Health","South Dakota","SD-South Dakota",26,1487,0.017184402,11.48502201,25.45044374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","NSCH","NSCH National Survey of Children's Health","High","High",2012,3.17983892802319,0.843113449345744,-3.95835207553713
"AR",429836,5.8,5.6,6.1,2010,"sped","Special Education Child Count","Arkansas","AR-Arkansas",2493,427343,0.005799886,5.576111427,6.032540051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","SPED","SPED Special Education Child Count","High","Medium",2010,5.63330278608937,0.505868069607446,0.142273213970078
"VT",49725,5.5,4.9,6.2,2000,"medi","Medicaid","Vermont","VT-Vermont",273,49452,0.005490196,4.868364666,6.189608144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","High","Medium",2000,4.69657479179647,-1.18035882908404,-1.4233379892104
"SC",1682,11.8,7.5,18.5,2012,"nsch","National Survey of Children's Health","South Carolina","SC-South Carolina",20,1662,0.011890606,7.476570417,18.65378177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","NSCH","NSCH National Survey of Children's Health","High","High",2012,3.22582599146189,0.843113449345744,-3.88149106341871
"MI",708548,6.1,5.9,6.3,2004,"medi","Medicaid","Michigan","MI-Michigan",4322,704226,0.006099798,5.920463826,6.284509361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","MEDI","MEDI Medicaid","High","Medium",2004,5.85036927650163,-0.505868069607446,0.505069811589698
"CA",5728978,10.3,10.2,10.4,2012,"sped","Special Education Child Count","California","CA-California",59008,5669970,0.010299917,10.21748241,10.38300973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","SPED","SPED Special Education Child Count","High","High",2012,6.75807715450708,0.843113449345744,2.02217790665978
"NY",1527,7.4,4.3,12.6,2008,"nsch","National Survey of Children's Health","New York","NY-New York",11,1516,0.007203667,3.793054771,13.27058885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","NSCH","NSCH National Survey of Children's Health","High","Medium",2008,3.18383903705642,0.168622689869149,-3.95166644688662
"SD",53420,2.8,2.4,3.3,2003,"medi","Medicaid","South Dakota","SD-South Dakota",150,53270,0.002807937,2.38494292,3.303919466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","Low","Low",2003,4.72770388368535,-0.674490759476595,-1.3713100202557
